Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Bermuda,133.6,91.4,113.6,143.6,124.2,84.3
Switzerland,112.2,52.8,84.0,116.7,104.1,118.9
Cayman Islands,111.7,76.0,94.8,109.0,99.5,73.7
Us Virgin Islands,102.6,47.9,76.7,104.1,83.5,55.8
Bahamas,88.5,41.8,66.3,80.5,80.4,38.0
Iceland,85.7,41.0,64.5,86.5,88.0,109.1
Singapore,81.9,71.9,77.1,75.0,55.3,103.0
Barbados,79.4,19.9,51.2,78.6,71.8,34.4
Norway,79.2,27.8,54.8,77.5,75.9,94.9
Denmark,75.2,28.6,53.1,65.0,82.6,103.3
Jersey,74.3,52.5,64.0,64.1,93.6,72.0
United States,72.9,44.7,59.5,74.2,68.4,120.9
Australia,72.8,36.6,55.6,73.9,66.9,93.6
Hong Kong (China),71.5,61.4,66.7,79.6,47.0,84.1
Canada,68.4,36.0,53.1,70.7,64.0,83.3
New Zealand,68.2,28.8,49.5,71.7,58.8,93.0
Guernsey,67.5,46.7,57.6,68.8,63.6,83.2
Israel,67.2,31.2,50.1,60.2,71.9,79.5
Austria,66.8,23.7,46.4,64.8,59.0,84.4
Ireland,66.5,47.3,57.4,58.9,65.9,82.0
France,66.0,22.3,45.3,68.6,57.9,83.4
Finland,65.5,20.8,44.3,61.6,63.8,97.3
Luxembourg,65.3,42.4,54.4,65.1,69.4,148.9
Puerto Rico,64.4,25.3,45.9,64.1,50.3,77.1
South Korea,64.4,17.1,42.0,83.1,32.4,90.6
Netherlands,64.3,34.5,50.2,57.4,61.0,103.3
United Kingdom,63.7,33.5,49.4,55.5,63.9,90.1
Belgium,63.0,21.4,43.3,56.1,67.8,90.7
Germany,62.7,26.3,45.4,57.6,52.5,101.0
Sweden,62.2,23.1,43.6,61.8,56.1,94.6
Isle Of Man,59.8,27.4,44.5,48.7,67.9,167.1
Italy,58.9,21.1,41.0,56.8,55.0,62.8
United Arab Emirates,57.8,46.9,52.6,45.0,50.0,98.7
Cyprus,57.1,25.0,41.8,49.3,54.0,59.4
Macao (China),56.2,30.5,44.0,64.0,38.6,96.9
Yemen,56.1,7.1,32.8,64.0,30.2,17.1
Uruguay,55.3,15.2,36.3,50.3,50.4,47.0
Malta,55.1,25.3,40.9,49.9,57.5,58.3
Qatar,55.0,40.4,48.1,44.3,49.5,127.4
Greece,54.2,13.6,34.9,47.9,52.9,42.1
Bahrain,53.7,22.6,39.0,46.4,43.4,83.6
Costa Rica,53.6,16.5,36.0,54.2,44.1,37.0
Trinidad And Tobago,53.6,13.3,34.5,53.9,44.6,35.4
Jamaica,53.1,13.4,34.3,57.2,38.4,28.1
Estonia,53.0,15.5,35.2,45.2,48.8,69.0
Latvia,51.4,11.7,32.6,42.6,46.2,51.9
Japan,50.7,15.1,33.8,55.4,30.9,99.5
Brunei,50.5,17.4,34.8,65.6,25.6,87.0
Maldives,50.0,23.1,37.3,47.5,28.0,40.8
Slovenia,49.3,17.0,34.0,46.3,41.2,68.0
Taiwan,49.0,13.7,32.2,61.8,24.8,80.0
Czech Republic,48.6,21.0,35.5,44.1,34.5,64.9
Lithuania,48.4,15.8,32.9,43.6,45.1,61.8
Spain,48.4,23.6,36.6,45.1,44.0,78.2
Belize,48.0,10.7,30.3,47.4,27.9,52.4
Slovakia,47.9,15.1,32.4,45.1,35.5,55.8
Panama,47.4,21.5,35.1,46.4,43.2,34.7
Saudi Arabia,47.4,12.2,30.7,40.8,32.9,105.1
Croatia,46.9,14.5,31.5,42.6,42.6,58.0
Portugal,46.6,25.4,36.5,42.9,37.9,46.5
Lebanon,46.3,16.5,32.2,33.4,37.8,20.7
Guyana,46.2,11.5,29.8,48.2,44.8,21.9
Cuba,45.6,10.6,29.0,41.3,25.5,1.7
Ivory Coast,44.7,16.8,31.5,38.3,27.5,8.5
Oman,44.4,13.3,29.7,39.5,33.5,109.6
Senegal,44.0,22.7,33.9,40.1,37.9,18.0
Mexico,43.8,17.0,31.1,45.6,36.7,38.0
Kuwait,43.4,24.3,34.4,33.8,36.9,128.5
Hungary,43.4,11.3,28.2,39.5,36.7,49.8
Palestine,43.3,8.4,26.8,40.6,27.4,37.4
Ethiopia,43.1,15.1,29.8,42.4,19.5,10.4
Jordan,43.0,7.6,26.2,36.9,35.8,36.4
Mozambique,43.0,20.6,32.4,35.0,37.6,12.5
Poland,41.9,19.2,31.1,35.9,35.7,66.2
El Salvador,41.1,16.8,29.6,42.7,30.5,22.2
Montenegro,40.9,16.6,29.4,36.3,35.6,41.8
Albania,40.8,10.2,26.3,39.4,31.0,31.6
