"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"1825","26","1"
"3650","22","1"
"5475","25","1"
"7300","24","1"
"9125","26","1"
"10950","25","1"
"12775","27","1"
"14600","29","1"
"16425","28","1"
"18250","30","1"
"20075","30","1"
"21900","31","1"
"23725","33","1"
"25550","31","1"
"27375","32","1"
"29200","33","1"
"31025","35","1"
"32850","37","1"
"34675","48","1"
"36500","45","1"
"38325","48","1"
"40150","45","1"
"41975","45","1"
"43800","47","1"
"45625","47","1"
"47450","46","1"
"49275","48","1"
"51100","48","1"
"52925","47","1"
"1825","12","2"
"3650","15","2"
"5475","15","2"
"7300","16","2"
"9125","17","2"
"10950","18","2"
"12775","19","2"
"14600","19","2"
"16425","23","2"
"18250","22","2"
"20075","24","2"
"21900","25","2"
"23725","24","2"
"25550","26","2"
"27375","27","2"
"29200","26","2"
"31025","28","2"
"32850","29","2"
"34675","29","2"
"36500","31","2"
"38325","31","2"
"40150","31","2"
"41975","32","2"
"43800","32","2"
"45625","33","2"
"47450","33","2"
"49275","32","2"
"51100","34","2"
"52925","35","2"
"1825","10","3"
"3650","11","3"
"5475","11","3"
"7300","13","3"
"9125","12","3"
"10950","12","3"
"12775","14","3"
"14600","14","3"
"16425","15","3"
"18250","14","3"
"20075","17","3"
"21900","17","3"
"23725","16","3"
"25550","19","3"
"27375","18","3"
"29200","20","3"
"31025","20","3"
"32850","20","3"
"34675","21","3"
"36500","23","3"
"38325","23","3"
"40150","23","3"
"41975","25","3"
"43800","29","3"
"45625","34","3"
"47450","37","3"
"49275","33","3"
"51100","36","3"
"52925","33","3"
"1825","15","4"
"3650","13","4"
"5475","16","4"
"7300","14","4"
"9125","18","4"
"10950","19","4"
"12775","17","4"
"14600","15","4"
"16425","18","4"
"18250","18","4"
"20075","19","4"
"21900","20","4"
"23725","20","4"
"25550","20","4"
"27375","20","4"
"29200","24","4"
"31025","22","4"
"32850","23","4"
"34675","25","4"
"36500","24","4"
"38325","28","4"
"40150","28","4"
"41975","27","4"
"43800","25","4"
"45625","27","4"
"47450","30","4"
"49275","28","4"
"51100","41","4"
"52925","40","4"
