nodos_threadpool,cantidad_de_datos,tiempo_en_milisegundos
0,1825,7326.5
0,3650,7415.0
0,5480,7765.75
0,7305,7913.75
0,9130,8129.75
0,10955,8656.75
0,12785,8598.25
0,14610,8834.75
0,16435,9356.25
0,18260,9041.5
0,20090,9666.5
0,21915,9445.75
0,23740,9745.5
0,25565,10084.75
0,27395,10130.75
0,29220,10436.0
0,31045,10680.0
0,32870,10737.0
0,34700,10575.0
0,36525,11124.25
0,38350,11640.5
0,40175,11535.25
0,42005,11326.75
0,43830,11120.25
0,45655,11765.75
0,47480,12109.25
0,49310,11780.0
0,51135,11738.0
0,52960,12558.25
1,1825,6762.5
1,3650,7025.5
1,5480,7151.5
1,7305,7248.25
1,9130,7171.25
1,10955,7633.0
1,12785,7883.5
1,14610,8057.25
1,16435,8270.5
1,18260,8382.0
1,20090,8487.25
1,21915,8319.25
1,23740,8471.25
1,25565,9196.5
1,27395,9631.5
1,29220,9127.75
1,31045,9645.75
1,32870,9692.5
1,34700,9854.5
1,36525,10154.5
1,38350,10287.75
1,40175,10653.5
1,42005,10845.5
1,43830,11005.0
1,45655,11116.25
1,47480,11368.25
1,49310,11650.0
1,51135,11881.0
1,52960,12090.75
2,1825,7072.25
2,3650,7240.5
2,5480,7696.25
2,7305,7411.5
2,9130,7416.0
2,10955,7891.25
2,12785,8071.25
2,14610,8646.75
2,16435,8350.5
2,18260,8371.0
2,20090,8729.0
2,21915,8766.75
2,23740,8875.75
2,25565,9517.5
2,27395,9257.5
2,29220,9554.75
2,31045,9515.25
2,32870,9793.0
2,34700,10010.0
2,36525,10263.75
2,38350,10163.25
2,40175,10643.25
2,42005,10778.25
2,43830,10902.75
2,45655,11271.75
2,47480,11599.5
2,49310,11740.25
2,51135,11789.5
2,52960,11834.0
3,1825,7423.25
3,3650,7387.75
3,5480,7277.75
3,7305,7704.25
3,9130,7904.25
3,10955,7796.25
3,12785,7903.75
3,14610,8083.0
3,16435,8246.0
3,18260,8876.75
3,20090,8655.25
3,21915,8736.0
3,23740,9027.75
3,25565,9056.5
3,27395,9096.75
3,29220,8992.25
3,31045,9367.0
3,32870,9422.75
3,34700,9772.75
3,36525,9929.0
3,38350,10243.75
3,40175,10458.75
3,42005,10446.75
3,43830,10897.0
3,45655,11342.5
3,47480,11195.25
3,49310,11552.0
3,51135,11682.25
3,52960,11894.25
4,1825,7016.25
4,3650,7134.75
4,5480,7396.0
4,7305,7659.0
4,9130,7909.25
4,10955,7693.25
4,12785,8042.5
4,14610,8061.0
4,16435,8508.25
4,18260,8985.25
4,20090,8907.75
4,21915,8979.25
4,23740,9060.25
4,25565,9274.0
4,27395,9042.0
4,29220,9445.75
4,31045,9202.5
4,32870,9611.25
4,34700,9679.25
4,36525,10234.5
4,38350,10379.0
4,40175,10614.75
4,42005,10433.25
4,43830,10412.5
4,45655,10788.75
4,47480,10884.25
4,49310,10943.0
4,51135,11055.75
4,52960,11236.0
