cantidad_de_datos,tiempo_en_milisegundos,nodos_threadpool
"1825","4943","0"
"3650","3606","0"
"5480","3618","0"
"7305","3962","0"
"9130","4321","0"
"10955","5001","0"
"12785","5027","0"
"14610","4227","0"
"16435","5538","0"
"18260","5189","0"
"20090","5549","0"
"21915","6061","0"
"23740","4863","0"
"25565","6608","0"
"27395","5668","0"
"29220","6138","0"
"31045","6868","0"
"32870","7469","0"
"34700","7598","0"
"36525","7516","0"
"38350","7802","0"
"40175","7189","0"
"42005","7124","0"
"43830","7683","0"
"45655","7532","0"
"47480","7880","0"
"49310","7714","0"
"51135","7957","0"
"52960","8593","0"
"1825","2503","1"
"3650","2837","1"
"5480","3086","1"
"7305","3536","1"
"9130","3509","1"
"10955","3965","1"
"12785","3734","1"
"14610","4044","1"
"16435","4417","1"
"18260","4260","1"
"20090","4310","1"
"21915","4768","1"
"23740","4513","1"
"25565","5762","1"
"27395","5050","1"
"29220","6433","1"
"31045","5209","1"
"32870","6034","1"
"34700","5638","1"
"36525","6212","1"
"38350","6175","1"
"40175","6285","1"
"42005","6560","1"
"43830","6728","1"
"45655","7121","1"
"47480","7228","1"
"49310","7235","1"
"51135","6814","1"
"52960","7136","1"
"1825","2957","2"
"3650","3217","2"
"5480","3878","2"
"7305","3508","2"
"9130","3534","2"
"10955","3774","2"
"12785","3944","2"
"14610","4002","2"
"16435","4095","2"
"18260","4098","2"
"20090","4909","2"
"21915","4441","2"
"23740","4606","2"
"25565","4626","2"
"27395","4844","2"
"29220","5208","2"
"31045","5694","2"
"32870","5962","2"
"34700","5505","2"
"36525","5988","2"
"38350","6455","2"
"40175","6893","2"
"42005","6537","2"
"43830","6278","2"
"45655","7041","2"
"47480","7037","2"
"49310","7046","2"
"51135","7007","2"
"52960","7347","2"
"1825","2957","2"
"3650","3217","2"
"5480","3878","2"
"7305","3508","2"
"9130","3534","2"
"10955","3774","2"
"12785","3944","2"
"14610","4002","2"
"16435","4095","2"
"18260","4098","2"
"20090","4909","2"
"21915","4441","2"
"23740","4606","2"
"25565","4626","2"
"27395","4844","2"
"29220","5208","2"
"31045","5694","2"
"32870","5962","2"
"34700","5505","2"
"36525","5988","2"
"38350","6455","2"
"40175","6893","2"
"42005","6537","2"
"43830","6278","2"
"45655","7041","2"
"47480","7037","2"
"49310","7046","2"
"51135","7007","2"
"52960","7347","2"
"1825","3047","3"
"1825","3137","3"
"3650","3199","3"
"5480","3207","3"
"7305","3448","3"
"9130","3376","3"
"10955","3700","3"
"12785","3960","3"
"14610","3797","3"
"16435","4277","3"
"18260","4919","3"
"20090","4623","3"
"21915","4479","3"
"23740","4532","3"
"25565","5584","3"
"27395","5620","3"
"29220","5513","3"
"31045","5384","3"
"32870","6272","3"
"34700","6007","3"
"36525","5851","3"
"38350","5618","3"
"40175","5995","3"
"42005","6643","3"
"43830","6461","3"
"45655","7091","3"
"47480","7285","3"
"49310","7302","3"
"51135","7120","3"
"52960","7284","3"
"1825","3185","4"
"3650","3133","4"
"5480","3055","4"
"7305","3403","4"
"9130","3457","4"
"10955","3354","4"
"12785","3819","4"
"14610","3807","4"
"16435","4322","4"
"18260","4030","4"
"20090","4282","4"
"21915","4713","4"
"23740","4655","4"
"25565","4794","4"
"27395","4918","4"
"29220","5135","4"
"31045","5375","4"
"32870","6208","4"
"34700","5398","4"
"36525","5847","4"
"38350","6574","4"
"40175","6040","4"
"42005","6535","4"
"43830","6332","4"
"45655","6924","4"
"47480","6762","4"
"49310","7489","4"
"51135","7034","4"
"52960","7294","4"
