"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"1825","7374","0"
"3650","7232","0"
"5480","7843","0"
"7305","7935","0"
"9130","8854","0"
"10955","8223","0"
"12785","8666","0"
"14610","8394","0"
"16435","8892","0"
"18260","6173","0"
"18260","6262","0"
"18260","9267","0"
"20090","10108","0"
"21915","9238","0"
"23740","10151","0"
"25565","10089","0"
"27395","9650","0"
"29220","10204","0"
"31045","10562","0"
"32870","10410","0"
"34700","12303","0"
"36525","11066","0"
"38350","11045","0"
"40175","10905","0"
"42005","11032","0"
"43830","11264","0"
"45655","11635","0"
"47480","12859","0"
"49310","11345","0"
"51135","12563","0"
"52960","12455","0"
"1825","6784","1"
"3650","7004","1"
"5480","7940","1"
"7305","7167","1"
"9130","7339","1"
"10955","7848","1"
"12785","8428","1"
"14610","7631","1"
"16435","8754","1"
"18260","8354","1"
"20090","8246","1"
"21915","8862","1"
"23740","10676","1"
"25565","9302","1"
"27395","10765","1"
"29220","8865","1"
"31045","9002","1"
"32870","10933","1"
"34700","9738","1"
"36525","10455","1"
"38350","10907","1"
"40175","10167","1"
"42005","9874","1"
"43830","10255","1"
"45655","10719","1"
"47480","10656","1"
"49310","10767","1"
"51135","10735","1"
"52960","12394","1"
"1825","6937","2"
"3650","7576","2"
"5480","7292","2"
"7305","7214","2"
"9130","7288","2"
"10955","8057","2"
"12785","7691","2"
"14610","8056","2"
"16435","8214","2"
"18260","8954","2"
"20090","9388","2"
"21915","9091","2"
"23740","9460","2"
"25565","8662","2"
"27395","10377","2"
"29220","9690","2"
"31045","9653","2"
"32870","10026","2"
"34700","9555","2"
"36525","10762","2"
"38350","11874","2"
"40175","10005","2"
"42005","10310","2"
"43830","10547","2"
"45655","10740","2"
"47480","10934","2"
"49310","11052","2"
"51135","12348","2"
"52960","10864","2"
"1825","6960","3"
"3650","7035","3"
"5480","7996","3"
"7305","7138","3"
"9130","7438","3"
"10955","9773","3"
"12785","8005","3"
"14610","8225","3"
"16435","8613","3"
"18260","8455","3"
"20090","8751","3"
"21915","9299","3"
"23740","8851","3"
"25565","9490","3"
"27395","9503","3"
"29220","9185","3"
"31045","9494","3"
"32870","9531","3"
"34700","10025","3"
"36525","10726","3"
"38350","10252","3"
"40175","10771","3"
"42005","10753","3"
"43830","10033","3"
"45655","10472","3"
"47480","11419","3"
"49310","10606","3"
"51135","11240","3"
"52960","11579","3"
"1825","6888","4"
"3650","7096","4"
"5480","7228","4"
"7305","7338","4"
"9130","7401","4"
"10955","8191","4"
"12785","8209","4"
"14610","8417","4"
"16435","8085","4"
"18260","9053","4"
"20090","8479","4"
"21915","9015","4"
"23740","9014","4"
"25565","9344","4"
"27395","9062","4"
"29220","9867","4"
"31045","9831","4"
"32870","10086","4"
"34700","10456","4"
"36525","9617","4"
"38350","9838","4"
"40175","10072","4"
"42005","10254","4"
"43830","10640","4"
"45655","10768","4"
"47480","12411","4"
"49310","11358","4"
"51135","11055","4"
"52960","10802","4"
