"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"1825","7256","0"
"3650","7434","0"
"5480","7586","0"
"7305","7916","0"
"9130","8041","0"
"10955","8134","0"
"12785","9393","0"
"14610","8483","0"
"16435","8948","0"
"18260","8799","0"
"20090","9310","0"
"21915","9388","0"
"23740","9668","0"
"25565","9588","0"
"27395","10149","0"
"29220","10046","0"
"31045","11290","0"
"32870","10322","0"
"34700","10600","0"
"36525","10638","0"
"38350","11890","0"
"40175","10813","0"
"42005","10703","0"
"43830","11211","0"
"45655","11003","0"
"47480","12170","0"
"49310","11586","0"
"51135","11676","0"
"52960","11537","0"
"1825","7521","1"
"3650","6985","1"
"5480","6834","1"
"7305","7290","1"
"9130","7217","1"
"10955","7575","1"
"12785","7542","1"
"14610","7597","1"
"16435","9069","1"
"18260","8369","1"
"20090","8329","1"
"21915","8641","1"
"23740","8423","1"
"25565","8065","1"
"27395","9985","1"
"29220","8993","1"
"31045","8922","1"
"32870","10260","1"
"34700","10460","1"
"36525","11290","1"
"38350","10331","1"
"40175","10148","1"
"42005","10640","1"
"43830","10489","1"
"45655","10585","1"
"47480","10318","1"
"49310","11916","1"
"51135","11612","1"
"52960","11929","1"
"1825","7084","2"
"3650","7827","2"
"5480","7264","2"
"7305","7297","2"
"9130","8241","2"
"10955","8549","2"
"12785","7840","2"
"14610","8169","2"
"16435","8191","2"
"18260","8748","2"
"20090","8461","2"
"21915","8467","2"
"23740","8600","2"
"25565","9439","2"
"27395","9380","2"
"29220","9444","2"
"31045","9293","2"
"32870","9999","2"
"34700","10480","2"
"36525","10209","2"
"38350","10096","2"
"40175","10252","2"
"42005","11355","2"
"43830","10681","2"
"45655","10441","2"
"47480","10638","2"
"49310","12327","2"
"51135","12671","2"
"52960","11466","2"
"1825","7011","3"
"3650","6878","3"
"5480","7137","3"
"7305","8378","3"
"9130","7393","3"
"10955","8377","3"
"12785","8242","3"
"14610","8060","3"
"16435","8131","3"
"18260","8605","3"
"20090","8818","3"
"21915","8368","3"
"23740","8673","3"
"25565","8964","3"
"27395","8800","3"
"29220","8870","3"
"31045","9564","3"
"32870","9125","3"
"34700","10116","3"
"36525","9990","3"
"38350","9834","3"
"40175","10766","3"
"42005","10478","3"
"43830","11129","3"
"45655","10665","3"
"47480","10458","3"
"49310","11431","3"
"51135","10897","3"
"52960","11299","3"
"1825","6746","4"
"3650","6930","4"
"5480","8096","4"
"7305","7736","4"
"9130","8086","4"
"10955","7463","4"
"12785","7553","4"
"14610","7711","4"
"16435","8247","4"
"18260","8792","4"
"20090","8385","4"
"21915","8738","4"
"23740","9150","4"
"25565","9533","4"
"27395","9065","4"
"29220","9401","4"
"31045","9186","4"
"32870","10055","4"
"34700","9423","4"
"36525","9929","4"
"38350","9853","4"
"40175","10863","4"
"42005","9916","4"
"43830","11006","4"
"45655","10788","4"
"47480","10511","4"
"49310","10860","4"
"51135","12405","4"
"52960","12044","4"
