"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"56615","10803","1"
"58440","11795","1"
"60270","11342","1"
"62095","12466","1"
"63920","11844","1"
"65745","11865","1"
"67575","11802","1"
"69400","12225","1"
"71225","12295","1"
"73050","12195","1"
"74880","13028","1"
"76705","13082","1"
"78530","12715","1"
"80355","13476","1"
"82185","13639","1"
"84010","13770","1"
"85835","12724","1"
"87660","13497","1"
"89490","13736","1"
"91315","13382","1"
"93140","14358","1"
"94965","15305","1"
"96795","13793","1"
"98620","16502","1"
"100445","16909","1"
"102270","15149","1"
"104100","18873","1"
"105925","15688","1"
"107750","17209","1"
"56615","11046","2"
"58440","11792","2"
"60270","11204","2"
"62095","11137","2"
"63920","12127","2"
"65745","13600","2"
"67575","12012","2"
"69400","12869","2"
"71225","13265","2"
"73050","13061","2"
"74880","12190","2"
"76705","14489","2"
"78530","14389","2"
"80355","14375","2"
"82185","13742","2"
"84010","14395","2"
"85835","13680","2"
"87660","14589","2"
"89490","14076","2"
"91315","16114","2"
"93140","14433","2"
"94965","15859","2"
"96795","15141","2"
"98620","15910","2"
"100445","15981","2"
"102270","16027","2"
"104100","16097","2"
"105925","16272","2"
"107750","16870","2"
"56615","11624","3"
"58440","12043","3"
"60270","11748","3"
"62095","12042","3"
"63920","12266","3"
"65745","11736","3"
"67575","12406","3"
"69400","12922","3"
"71225","12514","3"
"73050","12824","3"
"74880","13119","3"
"76705","13331","3"
"78530","13446","3"
"80355","13418","3"
"82185","13043","3"
"84010","13541","3"
"85835","14878","3"
"87660","14558","3"
"89490","14772","3"
"91315","14021","3"
"93140","14593","3"
"94965","15058","3"
"96795","14685","3"
"98620","14827","3"
"100445","15344","3"
"102270","14876","3"
"104100","14966","3"
"105925","15564","3"
"107750","16791","3"
"56615","11077","4"
"58440","11535","4"
"60270","11491","4"
"62095","11255","4"
"63920","13037","4"
"65745","11805","4"
"67575","13434","4"
"69400","12800","4"
"71225","12786","4"
"73050","12163","4"
"74880","12846","4"
"76705","13740","4"
"78530","13900","4"
"80355","13936","4"
"82185","13047","4"
"84010","14347","4"
"85835","13113","4"
"87660","14346","4"
"89490","14073","4"
"91315","15057","4"
"93140","15742","4"
"94965","14930","4"
"96795","15039","4"
"98620","15550","4"
"100445","15440","4"
"102270","15640","4"
"104100","15197","4"
"105925","15599","4"
"107750","16156","4"
