"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"1825","18","1"
"3650","16","1"
"5475","18","1"
"7300","18","1"
"9125","19","1"
"10950","23","1"
"12775","22","1"
"14600","22","1"
"16425","23","1"
"18250","24","1"
"20075","25","1"
"21900","30","1"
"23725","28","1"
"25550","38","1"
"27375","38","1"
"29200","36","1"
"31025","42","1"
"32850","45","1"
"34675","45","1"
"36500","49","1"
"38325","49","1"
"40150","43","1"
"41975","40","1"
"43800","41","1"
"45625","45","1"
"47450","45","1"
"49275","47","1"
"51100","48","1"
"52925","53","1"
"1825","13","2"
"3650","14","2"
"5475","15","2"
"7300","16","2"
"9125","17","2"
"10950","18","2"
"12775","19","2"
"14600","20","2"
"16425","21","2"
"18250","21","2"
"20075","23","2"
"21900","24","2"
"23725","25","2"
"25550","26","2"
"27375","28","2"
"29200","28","2"
"31025","29","2"
"32850","32","2"
"34675","46","2"
"36500","37","2"
"38325","36","2"
"40150","36","2"
"41975","36","2"
"43800","36","2"
"45625","37","2"
"47450","36","2"
"49275","38","2"
"51100","37","2"
"52925","37","2"
"1825","11","3"
"3650","12","3"
"5475","13","3"
"7300","14","3"
"9125","15","3"
"10950","16","3"
"12775","16","3"
"14600","16","3"
"16425","16","3"
"18250","17","3"
"20075","17","3"
"21900","18","3"
"23725","21","3"
"25550","24","3"
"27375","26","3"
"29200","26","3"
"31025","27","3"
"32850","28","3"
"34675","28","3"
"36500","30","3"
"38325","44","3"
"40150","35","3"
"41975","33","3"
"43800","32","3"
"45625","33","3"
"47450","29","3"
"49275","29","3"
"51100","26","3"
"52925","28","3"
"1825","11","4"
"3650","11","4"
"5475","19","4"
"7300","19","4"
"9125","14","4"
"10950","14","4"
"12775","16","4"
"14600","16","4"
"16425","25","4"
"18250","38","4"
"20075","39","4"
"21900","38","4"
"23725","40","4"
"25550","45","4"
"27375","40","4"
"29200","47","4"
"31025","37","4"
"32850","38","4"
"34675","35","4"
"36500","35","4"
"38325","33","4"
"40150","34","4"
"41975","37","4"
"43800","39","4"
"45625","40","4"
"47450","40","4"
"49275","46","4"
"51100","44","4"
"52925","43","4"
