"cantidad_de_datos","tiempo_en_milisegundos","nodos_threadpool"
"140","24","1"
"295","20","1"
"445","19","1"
"600","20","1"
"750","19","1"
"905","19","1"
"1060","21","1"
"1210","21","1"
"1365","19","1"
"1515","24","1"
"1670","20","1"
"1825","20","1"
"1965","19","1"
"2120","20","1"
"2270","20","1"
"2425","20","1"
"2575","19","1"
"2730","20","1"
"2885","19","1"
"3035","19","1"
"3190","21","1"
"3340","21","1"
"3495","21","1"
"3650","20","1"
"3795","20","1"
"3950","18","1"
"4100","19","1"
"4255","21","1"
"4405","19","1"
"4560","20","1"
"4715","19","1"
"4865","18","1"
"5020","21","1"
"5170","20","1"
"5325","21","1"
"5480","20","1"
"5620","21","1"
"5775","19","1"
"5925","19","1"
"6080","23","1"
"6230","20","1"
"6385","19","1"
"6540","17","1"
"6690","15","1"
"6845","15","1"
"6995","15","1"
"7150","17","1"
"7305","18","1"
"7445","14","1"
"7600","13","1"
"7750","13","1"
"7905","14","1"
"8055","13","1"
"8210","18","1"
"8365","34","1"
"8515","77","1"
"8670","51","1"
"8820","20","1"
"8975","20","1"
"9130","20","1"
"9270","20","1"
"9425","20","1"
"9575","19","1"
"9730","18","1"
"9880","20","1"
"10035","22","1"
"10190","20","1"
"10340","20","1"
"10495","21","1"
"10645","18","1"
"10800","19","1"
"10955","20","1"
"11100","19","1"
"11255","21","1"
"11405","26","1"
"11560","24","1"
"11710","27","1"
"11865","26","1"
"12020","24","1"
"12170","22","1"
"12325","27","1"
"12475","26","1"
"12630","21","1"
"12785","23","1"
"12925","25","1"
"13080","28","1"
"13230","26","1"
"13385","28","1"
"13535","25","1"
"13690","25","1"
"13845","27","1"
"13995","23","1"
"14150","24","1"
"14300","23","1"
"14455","27","1"
"14610","24","1"
"14750","27","1"
"14905","29","1"
"15055","28","1"
"15210","24","1"
"15360","24","1"
"15515","18","1"
"15670","18","1"
"15820","18","1"
"15975","18","1"
"16125","17","1"
"16280","17","1"
"16435","17","1"
"16575","16","1"
"16730","22","1"
"16880","27","1"
"17035","26","1"
"17185","25","1"
"17340","27","1"
"17495","27","1"
"17645","24","1"
"17800","21","1"
"17950","25","1"
"18105","22","1"
"18260","39","1"
"18405","28","1"
"18560","23","1"
"18710","25","1"
"18865","22","1"
"19015","22","1"
"19170","25","1"
"19325","23","1"
"19475","25","1"
"19630","23","1"
"19780","25","1"
"19935","23","1"
"20090","23","1"
"20230","25","1"
"20385","27","1"
"20535","23","1"
"20690","21","1"
"20840","20","1"
"20995","25","1"
"21150","25","1"
"21300","23","1"
"21455","22","1"
"21605","24","1"
"21760","25","1"
"21915","23","1"
"22055","24","1"
"22210","21","1"
"22360","20","1"
"22515","21","1"
"22665","21","1"
"22820","19","1"
"22975","24","1"
"23125","17","1"
"23280","18","1"
